[00:01|1] Итак, разметка.
[00:03|3] Вот что не хватило мне, что нужно будет
[00:06|6] сделать в следующий раз со следующими
[00:08|8] книгами. Вот такое соответствие нужно,
[00:18|18] то есть
[00:20|20] содержание и как файл называется,
[00:23|23] разбит на части. Вот большой файл. Тут у
[00:26|26] меня ди, там пусть будет, но чтобы это
[00:29|29] были отдельные куски,
[00:32|32] тогда работа пойдёт быстрее. Но это для
[00:35|35] тех, кто будет дальше это продолжать эту
[00:37|37] работу. Итак, вот у нас есть первый
[00:40|40] файл, первая книга.
[00:43|43] Вот мы её открываем. Итого у нас открыты
[00:45|45] две книжки, два файла. Вот сама
[00:51|51] первая книга. И вот её тегированная
[00:54|54] разметка.
[00:55|55] Я разметил цветом, но чтобы для себя
[00:57|57] понятнее было,
[01:00|60] этот тег он, знаете, что начинается
[01:04|64] хштег закрывается, кончается фигурной
[01:06|66] скобкой закрывающей.
[01:08|68] И итак, вот это
[01:14|74] работа с тегированной разбеткой. Что
[01:15|75] здесь есть?
[01:19|79] Вот она как внутри выглядит. Здесь
[01:22|82] естьфайл.
[01:24|84] Вот мы сейчас будем работать вот с этим
[01:26|86] скриптом finde
[01:29|89] в следующем видео вот этот. Ну и в
[01:31|91] какой-то момент будем с этим говорить,
[01:33|93] об этом говорить сейчас вот об этом
[01:35|95] речь.
[01:37|97] Вот мы его запускаем.
[01:41|101] Он говорит: "Поставить курсор файл
[01:43|103] вёрстки".
[01:45|105] Вёрстка у нас вот эта.
[01:48|108] Ставлю курсор вёрстку
[01:52|112] галочку.
[01:54|114] выли текст с тагированной разметкой. То
[01:56|116] есть можно какой-то кусок брать и
[01:59|119] размечать, но в данном случае нам нужно
[02:01|121] весь текст взять.
[02:05|125] Выделили.
[02:08|128] А вот видите, какая штука.
[02:11|131] Да, это важно. Да, точно. Так. Так что
[02:14|134] сейчас я это
[02:18|138] закрываю
[02:21|141] этот файл. Сейчас я перенесу в ту папку.
[02:27|147] Вот он уже открыт в этой папке.
[02:31|151] Перенесён, открыт. Запускат
[02:34|154] заново.
[02:37|157] Так, ставим вёрстку.
[02:41|161] Подтверждаем.
[02:42|162] Здесь выделяем весь текст.
[02:47|167] И вот видите, поскольку в одной папке
[02:49|169] всё подхватилось. и перенести разметку.
[03:05|185] Ну вот первый проход был излечение
[03:07|187] информации, а теперь уже поиск и
[03:09|189] оформление текста.
[03:15|195] То, что найдены качество красного цвета.
[03:17|197] Вот видите, уже покрашено.
[03:26|206] Вот это время начало и это время начало
[03:29|209] запуска второго прохода,
[03:33|213] чтобы оценить время, сколько требуется
[03:36|216] прикидывать.
[03:43|223] Ну, смотреть на этот прогрессбор
[03:46|226] неинтересно, поэтому я его обрежу.
[03:47|227] Конечно,
[03:49|229] сам результат важен, что получилось не
[03:52|232] всё и всё, что не получилось, особенно в
[03:55|235] файле так
[03:57|237] fail problems txt.
[04:00|240] Мы сейчас на него посмотрим. Не сейчас в
[04:02|242] следующем видео, а сейчас мы закончим
[04:04|244] тем, что мы посмотрим, что получилось.
[04:08|248] Вот красным цветом подмечен там, где
[04:12|252] что-то сделал этот скрипт. Тего разметка
[04:18|258] середним цветом это
[04:20|260] заниленный цвет, заниленные термины,
[04:23|263] которые не должны попасть в разметку.
[04:28|268] Вот. И, конечно же, надо посмотреть
[04:31|271] папку стилей.
[04:38|278] Вот видите, вот здесь уже что-то много
[04:41|281] чего появилось, и это полезно.
[04:46|286] Сейчас будем смотреть, что делать с теми
[04:48|288] тегами, которые не обработались.
