[00:01|1] Итак, приступим.
[00:03|3] Вот здесь собраны файлы для подготовки
[00:07|7] указателя именно Ромаина. Я потом
[00:10|10] покажу, там какой отдельный момент есть.
[00:13|13] Вот он именно учтён.
[00:15|15] Ну и вот для всех остальных людей есть
[00:20|20] папки 1 2 3 4 А здесь есть ещё вот
[00:23|23] нулевая папка работа с темированной
[00:25|25] разметкой.
[00:27|27] Вот то, что Анатолий делает. Но здесь
[00:30|30] всё это дело
[00:31|31] учтено. Сейчас я дело по шагам покажу.
[00:34|34] Это значит, что у нас есть, то, что вы
[00:37|37] получите и что у вас будет в работе.
[00:40|40] Собственно, сам файл, с которым мы
[00:41|41] сейчас будем работать,
[00:45|45] вот этот файл, вот сейчас я покажу, как
[00:48|48] мы в нём удалим весь указатель, то, что
[00:52|52] сейчас наработано, чтобы было чистенько
[00:54|54] всё.
[00:57|57] Вот что я вам показываю уже, так
[00:58|58] сказать. В другом ракурсе мы идём сюда в
[01:01|61] индексирование
[01:05|65] и запускаем программу
[01:09|69] и говорим: "Удали все имеющиеся записи".
[01:12|72] Да, данные будут вераться заново.
[01:49|109] Вот мы всё убрали.
[01:51|111] Это пока свернём.
[01:53|113] Нам ещё здесь нужно
[01:59|119] вот эта папка есть
[02:02|122] папка indкса. Здесь в ней всё лежит, все
[02:07|127] стили, которые сделает этот эта
[02:11|131] разметка. Вот сейчас всё, что в этой
[02:13|133] папке есть, всё выведу и удалю.
[02:27|147] без сохранения форматируем, чтобы цвета
[02:29|149] не было.
[02:38|158] Вот остался только заниленный текст,
[02:41|161] поскольку его здесь нет. Но это мы
[02:43|163] просто я просто выделю сейчас текст и
[02:46|166] скажу, что текст чёрного цвета.
[03:00|180] Вот здесь ничего нет. Никакого нила,
[03:02|182] ничего здесь нет. Это всё сделает наша
[03:05|185] разметка.
[03:07|187] Ну, сейчас мы приступим к ней.
