[00:01|1] Создаём новый файл.
[00:04|4] Ладно, не разворот.
[00:06|6] Не разворот.
[00:10|10] Вмещаем в него
[00:13|13] файл с ошибками.
[00:18|18] У нас совсем маленький.
[00:20|20] Сохраняем его. F2 теперь будет.
[00:31|31] И вот у нас два файла.
[00:38|38] Это вёрстка.
[00:44|44] Это теги.
[00:51|51] Вот первый тег. Смотри. Рама 1,70.
[01:05|65] Вот смотри, рана
[01:11|71] 70 то, что надо.
[01:20|80] Так, рама нажимаем на ней.
[01:25|85] Так, воплощение вишну в раму. Встреча
[02:11|131] Легенда о царях прошлого.
[02:16|136] Вот легенда о целях прошлого. Значит,
[02:18|138] то, что надо.
[02:23|143] Так, краунч 2.
[02:26|146] Лирическое значение эпизода убийства
[02:28|148] птицы.
[02:48|168] Значение символическое значение.
[02:57|177] Так, дахармарга
[03:01|181] дохарму.
[03:04|184] Если через свою харму, ты не должен
[03:06|186] колебаться.
[03:16|196] Вот она.
[03:21|201] Всё,
[03:24|204] вторая книжка закончена, сделана,
[03:27|207] точнее, второй материал закончен, не
[03:29|209] вторая книжка. Второй материал из того,
[03:31|211] что мы обрабатываем
